STATION,DATE,REPORT_TYPE,SOURCE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HeavyFog,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,TStorms,WindEquipmentChangeDate
72208013880,2010-02-20T17:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.12,37,54,0.00,,,,53,30.12,,30.07,10.00,46,160,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09602/20/10 17:56:02 METAR KCHS 202256Z 16008KT 10SM CLR 12/03 A3012 RMK AO2 SLP199 T01220028 (WRB),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-02-21T13:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.08,33,66,0.00,,,,29,30.07,,30.03,10.00,50,150,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09602/21/10 13:56:02 METAR KCHS 211856Z 15011KT 10SM CLR 19/01 A3008 RMK AO2 SLP184 T01890006 (JRS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-02-21T14:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.06,35,65,0.00,,,,33,30.06,,30.01,10.00,51,160,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09602/21/10 14:56:02 METAR KCHS 211956Z 16009KT 10SM CLR 18/02 A3006 RMK AO2 SLP178 T01830017 (JRS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-02-21T15:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.05,36,64,0.00,,+0.06,6,35,30.05,,30.00,10.00,50,160,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10202/21/10 15:56:02 METAR KCHS 212056Z 16011KT 10SM CLR 18/02 A3005 RMK AO2 SLP175 T01780022 56019 (JRS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-02-21T16:00:00,FM-12,4,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,64,,,+0.06,6,35,30.05,CLR:00,30.00,9.94,50,160,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN076AAXX  21214 72208 32966 01611 10178 20022 30160 40175 56019 92056 555 92121;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-02-21T16:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.04,35,61,0.00,,,,38,30.03,,29.99,10.00,49,150,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09602/21/10 16:56:02 METAR KCHS 212156Z 15009KT 10SM CLR 16/02 A3004 RMK AO2 SLP171 T01610017 (WRB),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-02-21T17:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.05,38,56,0.00,,,,51,30.04,FEW:02 60,30.00,10.00,47,160,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09902/21/10 17:56:02 METAR KCHS 212256Z 16006KT 10SM FEW060 13/03 A3005 RMK AO2 SLP174 T01330033 (WRB),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-03-01T16:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,29.96,33,57,0.00,,,,41,29.96,,29.91,10.00,46,170,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09603/01/10 16:56:02 METAR KCHS 012156Z 17008KT 10SM CLR 14/01 A2996 RMK AO2 SLP144 T01390006 (AWS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-03-01T17:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,29.96,34,52,0.00,,,,50,29.96,,29.91,10.00,44,170,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09603/01/10 17:56:02 METAR KCHS 012256Z 17007KT 10SM CLR 11/01 A2996 RMK AO2 SLP145 T01110011 (AWS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-03-10T16:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,29.95,49,68,T,,,,51,29.94,BKN:07 90,29.90,10.00,58,170,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09903/10/10 16:56:02 METAR KCHS 102156Z 17007KT 10SM BKN090 20/09 A2995 RMK AO2 SLP140 T02000094 (AWS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
